users,history,,,
UCjsCZ4Mz554MaAVOT4Vr-LA,"1,(1,2,3),1","1,(4,2,3),0","1,(4,2),2","3,(1,5,3),1"
UCIslJSqs42EDnbI9eoKlLvg,"1,(1,2,3),2","1,(4,2,3),1","1,(4,2),3","3,(1,5,3),2"
UCj6BmOEnnnkN39BVw8V6flA,"1,(1,2,3),3","1,(4,2,3),2","1,(4,2),4","3,(1,5,3),3"
UCmC5YkydzSvenVO9Q2ZHLkg,"1,(1,2,3),4","1,(4,2,3),3","1,(4,2),5","3,(1,5,3),4"
UCVNr5xuNIWU8SkhYztZaPdA,"1,(1,2,3),5","1,(4,2,3),4","1,(4,2),6","3,(1,5,3),5"
UCwioYv6PboxvHTM4ZtkovOg,"1,(1,2,3),6","1,(4,2,3),5","1,(4,2),7","3,(1,5,3),6"
UCITN9kq7R1ltX7guc937uPQ,"1,(1,2,3),7","1,(4,2,3),6","1,(4,2),8","3,(1,5,3),7"
UC6rCdMMJOql_H6__jeQhMWw,"1,(1,2,3),8","1,(4,2,3),7","1,(4,2),9","3,(1,5,3),8"
UC7ealu4wH3os-9GaJvZMb0g,"1,(1,2,3),9","1,(4,2,3),8","1,(4,2),10","3,(1,5,3),9"
UChdSD7ByfQe3qzsIhWkYrag,"1,(1,2,3),10","1,(4,2,3),9","1,(4,2),11","3,(1,5,3),10"
UCFteCo7SaGFJSvGm3onNntw,"1,(1,2,3),11","1,(4,2,3),10","1,(4,2),12","3,(1,5,3),11"
UCGUHaJZZANibz8C--xrzVzw,"1,(1,2,3),12","1,(4,2,3),11","1,(4,2),13","3,(1,5,3),12"
UC16bFGGYCriuaErc7SzjwMw,"1,(1,2,3),13","1,(4,2,3),12","1,(4,2),14","3,(1,5,3),13"
UCAAnA2tz1PObBhzOTj8bQTw,"1,(1,2,3),14","1,(4,2,3),13","1,(4,2),15","3,(1,5,3),14"
UCPHKe0c-j6Ru1Ciu0jfRrKA,"1,(1,2,3),15","1,(4,2,3),14","1,(4,2),16","3,(1,5,3),15"
UC_jbhYB2v487Y0AdkHVdj1g,"1,(1,2,3),16","1,(4,2,3),15","1,(4,2),17","3,(1,5,3),16"
UCUvIe6zlJViNnKYo17dyRBA,"1,(1,2,3),17","1,(4,2,3),16","1,(4,2),18","3,(1,5,3),17"
UCzGgfNw1UhAj7JM7xdZGqvw,"1,(1,2,3),18","1,(4,2,3),17","1,(4,2),19","3,(1,5,3),18"
UCTjWpjzeK79sdcYnIYuXc5g,"1,(1,2,3),19","1,(4,2,3),18","1,(4,2),20","3,(1,5,3),19"
UCywZJfHSbi_w9nvmylE8B_Q,"1,(1,2,3),20","1,(4,2,3),19","1,(4,2),21","3,(1,5,3),20"
UCbxBFbhMkFCN6gT8VBqZZCQ,"1,(1,2,3),21","1,(4,2,3),20","1,(4,2),22","3,(1,5,3),21"
UC-uNfJoEFdZjOi0WeC3NNNw,"1,(1,2,3),22","1,(4,2,3),21","1,(4,2),23","3,(1,5,3),22"
UCluVH6RNsThF1NxLDzWhSsg,"1,(1,2,3),23","1,(4,2,3),22","1,(4,2),24","3,(1,5,3),23"
UCk37IHdHFlYByRpKKaO8IeA,"1,(1,2,3),24","1,(4,2,3),23","1,(4,2),25","3,(1,5,3),24"
UCZSzF5QuFPHu-TA1ZOl1D8Q,"1,(1,2,3),25","1,(4,2,3),24","1,(4,2),26","3,(1,5,3),25"
UCoVO2frM7DfP8GbwzSHXoOQ,"1,(1,2,3),26","1,(4,2,3),25","1,(4,2),27","3,(1,5,3),26"
